#!(s),Date,Time,TA_HALL2_ET1,TA_SC2_ET1,CO_SC2_ET1,DBS_SC2_ET1,DBE_SC2_ET1,TA_FAB_LAB_ET1,CO_FAB_LAB_ET1,DBS_FAB_LAB_ET1,DBE_FAB_LAB_ET1,TA_HALL1_ET1
1739146435,10.02.2025,0:13:55,18.5,18.1,0,810,727,17.7,0,540,540,18.8
1739147339,10.02.2025,0:28:59,18.5,18.1,0,824,727,17.7,0,540,540,18.8
1739148242,10.02.2025,0:44:02,18.5,18.1,0,842,792,17.7,0,540,540,18.8
1739149145,10.02.2025,0:59:05,18.5,18.1,0,842,792,17.6,0,529,540,18.8
1739150048,10.02.2025,1:14:08,18.5,18.1,0,792,742,17.5,0,540,540,18.8
1739150951,10.02.2025,1:29:11,18.4,18.1,0,842,594,17.5,0,540,540,18.7
1739151854,10.02.2025,1:44:14,18.5,18.1,0,842,760,17.4,0,540,529,18.7
1739152758,10.02.2025,1:59:18,18.5,18.1,0,842,677,17.6,0,540,562,18.8
1739153661,10.02.2025,2:14:21,18.4,18,0,824,742,18.1,0,529,572,18.7
1739154564,10.02.2025,2:29:24,18.4,18,0,842,810,17.6,0,540,540,18.7
1739155467,10.02.2025,2:44:27,18.5,18,0,857,727,17.5,0,540,529,18.7
1739156370,10.02.2025,2:59:30,18.4,18,0,824,742,17.4,0,540,529,18.7
1739157273,10.02.2025,3:14:33,18.4,18,0,810,774,17.3,0,540,540,18.7
1739158177,10.02.2025,3:29:37,18.4,18.2,0,824,727,17.6,0,540,551,18.7
1739159080,10.02.2025,3:44:40,18.4,18.3,0,810,792,17.6,0,540,540,18.7
1739159983,10.02.2025,3:59:43,18.4,18.3,0,810,742,17.6,0,540,540,18.7
1739160886,10.02.2025,4:14:46,18.4,18.5,0,824,644,17.6,0,540,540,18.7
1739161789,10.02.2025,4:29:49,18.4,18.5,0,842,742,17.6,0,540,540,18.7
1739162693,10.02.2025,4:44:53,18.4,18.5,0,824,774,17.6,0,540,540,18.7
1739163596,10.02.2025,4:59:56,18.4,18.6,0,824,774,17.6,0,540,540,18.7
1739164499,10.02.2025,5:14:59,18.4,18.5,0,842,709,17.7,0,540,540,18.7
1739165402,10.02.2025,5:30:02,18.4,18.7,0,810,760,17.7,0,551,551,18.7
1739166306,10.02.2025,5:45:06,18.4,18.7,0,810,677,17.8,0,540,551,18.7
1739167209,10.02.2025,6:00:09,18.4,18.8,0,810,792,17.8,0,551,551,18.7
1739168112,10.02.2025,6:15:12,18.5,18.8,0,824,774,17.7,0,551,540,18.8
1739169015,10.02.2025,6:30:15,18.4,18.8,0,824,774,17.7,0,540,540,18.8
1739169918,10.02.2025,6:45:18,18.5,18.8,0,842,727,18,0,540,551,18.8
1739170821,10.02.2025,7:00:21,18.4,18.9,0,824,774,18,0,540,551,18.8
1739171725,10.02.2025,7:15:25,18.5,18.9,0,810,709,18.1,0,540,540,18.8
1739172628,10.02.2025,7:30:28,18.4,19,0,824,695,18,0,551,551,18.8
1739173531,10.02.2025,7:45:31,18.5,18.9,0,824,792,18.1,0,551,540,19
1739174434,10.02.2025,8:00:34,18.5,18.9,0,760,727,18.1,0,540,540,19
1739175337,10.02.2025,8:15:37,18.6,19.2,0,774,842,18.2,0,540,540,19.1
1739176241,10.02.2025,8:30:41,18.7,19.4,0,742,857,18.3,0,551,540,19.1
1739177144,10.02.2025,8:45:44,18.6,19.4,0,774,760,18.4,0,551,540,19.2
1739178047,10.02.2025,9:00:47,18.7,19.3,0,760,774,18.2,0,551,540,19.1
1739178950,10.02.2025,9:15:50,18.7,19.4,0,774,792,18.2,0,551,540,19.1
1739179853,10.02.2025,9:30:53,18.7,19.4,0,760,792,18.3,0,551,540,19.1
1739180756,10.02.2025,9:45:56,18.8,19.5,0,792,760,18.4,0,551,540,19.1
