#!(s),Date,Time,TA_SP30P1_ET2,CO_SP30P1_ET2,DBS_SP30P1_ET2,DBE_SP30P1_ET2,TA_SP30P2_ET2,CO_SP30P2_ET2,DBS_SP30P2_ET2,DBE_SP30P2_ET2
1730420101,01.11.2024,0:15:01,20,345,562,529,19.8,0,562,572
1730421004,01.11.2024,0:30:04,20,345,551,540,19.8,0,540,540
1730421907,01.11.2024,0:45:07,20,345,551,594,19.8,0,562,540
1730422810,01.11.2024,1:00:10,20,345,540,594,19.8,0,540,551
1730423713,01.11.2024,1:15:13,20,345,551,540,19.8,0,562,551
1730424616,01.11.2024,1:30:16,19.9,345,551,540,19.8,0,551,562
1730425520,01.11.2024,1:45:20,19.9,345,551,540,19.7,0,551,540
1730426423,01.11.2024,2:00:23,19.9,345,562,562,19.5,0,540,583
1730427326,01.11.2024,2:15:26,19.9,337,551,490,19.7,0,551,540
1730428229,01.11.2024,2:30:29,19.9,345,562,562,19.7,0,540,540
1730429132,01.11.2024,2:45:32,19.9,345,551,583,19.6,0,562,540
1730430035,01.11.2024,3:00:35,19.9,345,551,518,19.7,0,562,562
1730430938,01.11.2024,3:15:38,19.9,353,551,623,19.7,0,562,562
1730431842,01.11.2024,3:30:42,19.9,353,551,500,19.8,0,562,562
1730432745,01.11.2024,3:45:45,19.9,353,540,583,19.8,0,562,562
1730433648,01.11.2024,4:00:48,19.9,345,551,562,19.8,0,572,562
1730434551,01.11.2024,4:15:51,19.9,353,551,551,19.9,0,562,551
1730435454,01.11.2024,4:30:54,19.9,353,551,540,19.8,0,551,551
1730436357,01.11.2024,4:45:57,19.9,353,551,518,19.9,0,551,562
1730437260,01.11.2024,5:01:00,20,353,551,551,19.8,0,551,551
1730438164,01.11.2024,5:16:04,19.9,353,562,583,19.9,0,572,540
1730439067,01.11.2024,5:31:07,20,353,551,623,19.8,0,540,562
1730439970,01.11.2024,5:46:10,19.9,353,562,601,19.9,0,540,562
1730440873,01.11.2024,6:01:13,19.9,353,551,572,19.9,0,572,562
1730441776,01.11.2024,6:16:16,19.9,353,551,518,19.8,0,540,551
1730442679,01.11.2024,6:31:19,19.9,353,562,562,19.9,0,551,562
1730443582,01.11.2024,6:46:22,19.9,353,562,518,19.8,0,562,551
1730444485,01.11.2024,7:01:25,19.9,353,551,551,19.9,0,529,562
1730445389,01.11.2024,7:16:29,19.8,353,551,572,19.9,0,551,551
1730446292,01.11.2024,7:31:32,19.8,360,551,551,19.8,0,562,551
1730447195,01.11.2024,7:46:35,19.8,353,551,583,19.8,0,562,540
1730448098,01.11.2024,8:01:38,19.8,360,562,583,19.8,0,562,551
1730449001,01.11.2024,8:16:41,20,360,551,594,19.8,0,551,562
1730449904,01.11.2024,8:31:44,19.9,360,562,612,19.8,0,551,562
1730450807,01.11.2024,8:46:47,19.8,353,562,583,19.8,0,551,562
1730451711,01.11.2024,9:01:51,19.9,360,551,551,19.8,0,540,540
1730452614,01.11.2024,9:16:54,19.9,360,562,572,19.8,0,529,551
1730453517,01.11.2024,9:31:57,19.8,360,551,594,19.8,0,551,562
1730454420,01.11.2024,9:47:00,19.9,360,551,583,19.9,0,551,551
1730455323,01.11.2024,10:02:03,19.9,360,551,540,19.9,0,562,572
1730456226,01.11.2024,10:17:06,19.9,360,562,583,19.9,0,562,572
1730457129,01.11.2024,10:32:09,20,360,562,540,19.9,0,562,562
1730458032,01.11.2024,10:47:12,20,353,562,518,20,0,551,551
